REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
VIC1,"2002/01/01 00:30",4560.00333,19.91,TRADE
VIC1,"2002/01/01 01:00",4425.01833,18.18,TRADE
VIC1,"2002/01/01 01:30",4746.4,18.2,TRADE
VIC1,"2002/01/01 02:00",4570.72667,15.13,TRADE
VIC1,"2002/01/01 02:30",4337.96167,13.3,TRADE
VIC1,"2002/01/01 03:00",4132.365,12.31,TRADE
VIC1,"2002/01/01 03:30",3968.29667,11.42,TRADE
VIC1,"2002/01/01 04:00",3846.94833,11.2,TRADE
VIC1,"2002/01/01 04:30",3768.895,10.12,TRADE
VIC1,"2002/01/01 05:00",3750.325,7.08,TRADE
VIC1,"2002/01/01 05:30",3686.75667,4.6,TRADE
VIC1,"2002/01/01 06:00",3690.15667,4.6,TRADE
VIC1,"2002/01/01 06:30",3769.48,7.77,TRADE
VIC1,"2002/01/01 07:00",3810.445,9.81,TRADE
VIC1,"2002/01/01 07:30",3688.13,4.67,TRADE
VIC1,"2002/01/01 08:00",3751.74333,8.38,TRADE
VIC1,"2002/01/01 08:30",3814.01833,11.23,TRADE
VIC1,"2002/01/01 09:00",3874.74833,11.27,TRADE
VIC1,"2002/01/01 09:30",3949.32333,11.46,TRADE
VIC1,"2002/01/01 10:00",3998.43,12.1,TRADE
VIC1,"2002/01/01 10:30",4050.095,12.77,TRADE
VIC1,"2002/01/01 11:00",4072.61833,16.89,TRADE
VIC1,"2002/01/01 11:30",4088.48667,18.14,TRADE
VIC1,"2002/01/01 12:00",4077.26667,19.74,TRADE
VIC1,"2002/01/01 12:30",4058.20833,15.15,TRADE
VIC1,"2002/01/01 13:00",4040.22833,15.58,TRADE
VIC1,"2002/01/01 13:30",4024.48,13.45,TRADE
VIC1,"2002/01/01 14:00",4010.28,12.36,TRADE
VIC1,"2002/01/01 14:30",4001.83667,11.28,TRADE
VIC1,"2002/01/01 15:00",4008.49167,11.29,TRADE
VIC1,"2002/01/01 15:30",4087.34,13.89,TRADE
VIC1,"2002/01/01 16:00",4136.46333,16.76,TRADE
VIC1,"2002/01/01 16:30",4250.61167,26.74,TRADE
VIC1,"2002/01/01 17:00",4246.825,26.54,TRADE
VIC1,"2002/01/01 17:30",4273.26667,25.91,TRADE
VIC1,"2002/01/01 18:00",4248.49667,25.63,TRADE
VIC1,"2002/01/01 18:30",4204.29833,22.31,TRADE
VIC1,"2002/01/01 19:00",4206.665,21.95,TRADE
VIC1,"2002/01/01 19:30",4234.2,23.06,TRADE
VIC1,"2002/01/01 20:00",4298.59333,24.81,TRADE
VIC1,"2002/01/01 20:30",4373.915,22.87,TRADE
VIC1,"2002/01/01 21:00",4327.62,20.64,TRADE
VIC1,"2002/01/01 21:30",4212.94667,21.62,TRADE
VIC1,"2002/01/01 22:00",4100.47333,17.22,TRADE
VIC1,"2002/01/01 22:30",4040.205,15.62,TRADE
VIC1,"2002/01/01 23:00",4034.075,14.7,TRADE
VIC1,"2002/01/01 23:30",4528.13167,19.46,TRADE
VIC1,"2002/01/02 00:00",4511.85833,18.86,TRADE
VIC1,"2002/01/02 00:30",4407.49667,17.16,TRADE
VIC1,"2002/01/02 01:00",4308.87833,14.78,TRADE
VIC1,"2002/01/02 01:30",4662.27167,15.95,TRADE
VIC1,"2002/01/02 02:00",4514.515,14.3,TRADE
VIC1,"2002/01/02 02:30",4328.16,12.63,TRADE
VIC1,"2002/01/02 03:00",4141.82833,11.62,TRADE
VIC1,"2002/01/02 03:30",4009.125,11.24,TRADE
VIC1,"2002/01/02 04:00",3938.83667,11.25,TRADE
VIC1,"2002/01/02 04:30",3930.59167,11.24,TRADE
VIC1,"2002/01/02 05:00",3977.55833,11.24,TRADE
VIC1,"2002/01/02 05:30",4102.53833,11.28,TRADE
VIC1,"2002/01/02 06:00",4278.49333,12.98,TRADE
VIC1,"2002/01/02 06:30",4543.32667,15.53,TRADE
VIC1,"2002/01/02 07:00",4753.91333,16.6,TRADE
VIC1,"2002/01/02 07:30",4715.59667,16.41,TRADE
VIC1,"2002/01/02 08:00",4841.43167,17.64,TRADE
VIC1,"2002/01/02 08:30",4946.64,22.09,TRADE
VIC1,"2002/01/02 09:00",4984.30833,21.94,TRADE
VIC1,"2002/01/02 09:30",4967.56167,22.07,TRADE
VIC1,"2002/01/02 10:00",5007.46167,23.33,TRADE
