REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
QLD1,"2005/06/01 00:30:00",5035.91333,16.71,TRADE
QLD1,"2005/06/01 01:00:00",4956.89667,16.69,TRADE
QLD1,"2005/06/01 01:30:00",4786.015,16.14,TRADE
QLD1,"2005/06/01 02:00:00",4620.63667,16.31,TRADE
QLD1,"2005/06/01 02:30:00",4525.40667,16.76,TRADE
QLD1,"2005/06/01 03:00:00",4410.78,16.01,TRADE
QLD1,"2005/06/01 03:30:00",4358.93,15.61,TRADE
QLD1,"2005/06/01 04:00:00",4335.02333,15.53,TRADE
QLD1,"2005/06/01 04:30:00",4371.67333,15.03,TRADE
QLD1,"2005/06/01 05:00:00",4433.97667,14.63,TRADE
QLD1,"2005/06/01 05:30:00",4691.06333,15.14,TRADE
QLD1,"2005/06/01 06:00:00",4950.53167,16.86,TRADE
QLD1,"2005/06/01 06:30:00",5493.41167,20.94,TRADE
QLD1,"2005/06/01 07:00:00",5922.97167,26.55,TRADE
QLD1,"2005/06/01 07:30:00",6341.64833,25.27,TRADE
QLD1,"2005/06/01 08:00:00",6448.1,20.49,TRADE
QLD1,"2005/06/01 08:30:00",6339.33667,18.8,TRADE
QLD1,"2005/06/01 09:00:00",6271.48167,18.8,TRADE
QLD1,"2005/06/01 09:30:00",6207.005,18.8,TRADE
QLD1,"2005/06/01 10:00:00",6126.93167,18.8,TRADE
QLD1,"2005/06/01 10:30:00",6093.18167,18.8,TRADE
QLD1,"2005/06/01 11:00:00",6052.98167,18.8,TRADE
QLD1,"2005/06/01 11:30:00",6016.49833,18.8,TRADE
QLD1,"2005/06/01 12:00:00",6020.92667,18.8,TRADE
QLD1,"2005/06/01 12:30:00",5985.55167,17.58,TRADE
QLD1,"2005/06/01 13:00:00",5964.655,17.53,TRADE
QLD1,"2005/06/01 13:30:00",5959.60333,16.44,TRADE
QLD1,"2005/06/01 14:00:00",5933.46833,16.4,TRADE
QLD1,"2005/06/01 14:30:00",5940.915,16.41,TRADE
QLD1,"2005/06/01 15:00:00",5924.55833,16.14,TRADE
QLD1,"2005/06/01 15:30:00",5906.83167,16.34,TRADE
QLD1,"2005/06/01 16:00:00",5965.55,18.6,TRADE
QLD1,"2005/06/01 16:30:00",6051.17833,18.68,TRADE
QLD1,"2005/06/01 17:00:00",6229.06167,25.51,TRADE
QLD1,"2005/06/01 17:30:00",6513.75667,37.1,TRADE
QLD1,"2005/06/01 18:00:00",6837.88333,49.71,TRADE
QLD1,"2005/06/01 18:30:00",6779.42333,49.59,TRADE
QLD1,"2005/06/01 19:00:00",6698.135,44.05,TRADE
QLD1,"2005/06/01 19:30:00",6529.41167,39.04,TRADE
QLD1,"2005/06/01 20:00:00",6380.00833,33.6,TRADE
QLD1,"2005/06/01 20:30:00",6199.155,29.37,TRADE
QLD1,"2005/06/01 21:00:00",6047.73,24.87,TRADE
QLD1,"2005/06/01 21:30:00",6013.96,24.29,TRADE
QLD1,"2005/06/01 22:00:00",5857.55667,20.14,TRADE
QLD1,"2005/06/01 22:30:00",5759.52667,24.34,TRADE
QLD1,"2005/06/01 23:00:00",5614.37,20.31,TRADE
QLD1,"2005/06/01 23:30:00",5545.59167,23.18,TRADE
QLD1,"2005/06/02 00:00:00",5353.69,20.86,TRADE
QLD1,"2005/06/02 00:30:00",5102.53667,18.39,TRADE
QLD1,"2005/06/02 01:00:00",4993.72,16.73,TRADE
QLD1,"2005/06/02 01:30:00",4829.34833,16.54,TRADE
QLD1,"2005/06/02 02:00:00",4685.75667,16.22,TRADE
QLD1,"2005/06/02 02:30:00",4571.59167,16.27,TRADE
QLD1,"2005/06/02 03:00:00",4454.39833,15.66,TRADE
QLD1,"2005/06/02 03:30:00",4400.35,16.14,TRADE
QLD1,"2005/06/02 04:00:00",4361.77333,15.52,TRADE
QLD1,"2005/06/02 04:30:00",4425.025,15.6,TRADE
QLD1,"2005/06/02 05:00:00",4493.05833,15.18,TRADE
QLD1,"2005/06/02 05:30:00",4726.87667,15.22,TRADE
QLD1,"2005/06/02 06:00:00",4999.02833,16.9,TRADE
QLD1,"2005/06/02 06:30:00",5481.645,21.52,TRADE
QLD1,"2005/06/02 07:00:00",5937.935,25.1,TRADE
QLD1,"2005/06/02 07:30:00",6332.59,21.65,TRADE
QLD1,"2005/06/02 08:00:00",6544.88333,23.48,TRADE
QLD1,"2005/06/02 08:30:00",6465.25,20.44,TRADE
QLD1,"2005/06/02 09:00:00",6331.96667,22.66,TRADE
QLD1,"2005/06/02 09:30:00",6248.86667,21.36,TRADE
QLD1,"2005/06/02 10:00:00",6179.87,18.8,TRADE
QLD1,"2005/06/02 10:30:00",6154.335,18.8,TRADE
QLD1,"2005/06/02 11:00:00",6106.04,18.77,TRADE
QLD1,"2005/06/02 11:30:00",6026.48333,17.78,TRADE
QLD1,"2005/06/02 12:00:00",5971.23,16.44,TRADE
QLD1,"2005/06/02 12:30:00",5953.22333,16.44,TRADE
QLD1,"2005/06/02 13:00:00",5916.79,16.41,TRADE
QLD1,"2005/06/02 13:30:00",5912.87667,16.33,TRADE
QLD1,"2005/06/02 14:00:00",5892.15833,16.31,TRADE
