REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
TAS1,"2012/07/01 00:30:00",1075.4,40.25,TRADE
TAS1,"2012/07/01 01:00:00",1058.09,46.17,TRADE
TAS1,"2012/07/01 01:30:00",1053.26,46.11,TRADE
TAS1,"2012/07/01 02:00:00",1043.13,37.19,TRADE
TAS1,"2012/07/01 02:30:00",1035.13,36.91,TRADE
TAS1,"2012/07/01 03:00:00",1027.37,36.44,TRADE
TAS1,"2012/07/01 03:30:00",1004.96,28.1,TRADE
TAS1,"2012/07/01 04:00:00",992.32,27.3,TRADE
TAS1,"2012/07/01 04:30:00",979.15,35.33,TRADE
TAS1,"2012/07/01 05:00:00",966.06,35.26,TRADE
TAS1,"2012/07/01 05:30:00",973.28,35.38,TRADE
TAS1,"2012/07/01 06:00:00",977.45,35.38,TRADE
TAS1,"2012/07/01 06:30:00",987.21,35.38,TRADE
TAS1,"2012/07/01 07:00:00",1004.65,35.39,TRADE
TAS1,"2012/07/01 07:30:00",1035.27,35.35,TRADE
TAS1,"2012/07/01 08:00:00",1080.2,35.38,TRADE
TAS1,"2012/07/01 08:30:00",1133.09,35.37,TRADE
TAS1,"2012/07/01 09:00:00",1179.89,47.8,TRADE
TAS1,"2012/07/01 09:30:00",1219.84,47.81,TRADE
TAS1,"2012/07/01 10:00:00",1240.3,47.81,TRADE
TAS1,"2012/07/01 10:30:00",1256.75,47.95,TRADE
TAS1,"2012/07/01 11:00:00",1253.21,45.15,TRADE
TAS1,"2012/07/01 11:30:00",1235.12,46.48,TRADE
TAS1,"2012/07/01 12:00:00",1218.97,44.72,TRADE
TAS1,"2012/07/01 12:30:00",1195.79,45.26,TRADE
TAS1,"2012/07/01 13:00:00",1173.3,45.84,TRADE
TAS1,"2012/07/01 13:30:00",1164.99,45.84,TRADE
TAS1,"2012/07/01 14:00:00",1161.67,45.68,TRADE
TAS1,"2012/07/01 14:30:00",1175.17,45.84,TRADE
TAS1,"2012/07/01 15:00:00",1185.64,46.71,TRADE
TAS1,"2012/07/01 15:30:00",1210.59,49.12,TRADE
TAS1,"2012/07/01 16:00:00",1241.8,50.82,TRADE
TAS1,"2012/07/01 16:30:00",1283.03,49.65,TRADE
TAS1,"2012/07/01 17:00:00",1336.98,58.38,TRADE
TAS1,"2012/07/01 17:30:00",1420.31,60.66,TRADE
TAS1,"2012/07/01 18:00:00",1451.78,70.53,TRADE
TAS1,"2012/07/01 18:30:00",1449.58,63.3,TRADE
TAS1,"2012/07/01 19:00:00",1428.76,55.52,TRADE
TAS1,"2012/07/01 19:30:00",1403.88,57.24,TRADE
TAS1,"2012/07/01 20:00:00",1383.55,55.92,TRADE
TAS1,"2012/07/01 20:30:00",1364.5,54.53,TRADE
TAS1,"2012/07/01 21:00:00",1334.26,53.67,TRADE
TAS1,"2012/07/01 21:30:00",1312.92,50.84,TRADE
TAS1,"2012/07/01 22:00:00",1241.85,60.93,TRADE
TAS1,"2012/07/01 22:30:00",1187.92,71.29,TRADE
TAS1,"2012/07/01 23:00:00",1134.5,63.95,TRADE
TAS1,"2012/07/01 23:30:00",1090.53,67.76,TRADE
TAS1,"2012/07/02 00:00:00",1063.84,67.62,TRADE
TAS1,"2012/07/02 00:30:00",1045.23,64.24,TRADE
TAS1,"2012/07/02 01:00:00",1034.01,58.65,TRADE
TAS1,"2012/07/02 01:30:00",1019.78,55.86,TRADE
TAS1,"2012/07/02 02:00:00",1013.51,54.72,TRADE
TAS1,"2012/07/02 02:30:00",1012.32,54.97,TRADE
TAS1,"2012/07/02 03:00:00",1011.75,56.26,TRADE
TAS1,"2012/07/02 03:30:00",1008.13,58.21,TRADE
TAS1,"2012/07/02 04:00:00",995.15,57.95,TRADE
TAS1,"2012/07/02 04:30:00",1006.57,52,TRADE
TAS1,"2012/07/02 05:00:00",1009.48,52.14,TRADE
TAS1,"2012/07/02 05:30:00",1026.62,57.29,TRADE
TAS1,"2012/07/02 06:00:00",1050.74,61.59,TRADE
TAS1,"2012/07/02 06:30:00",1162.24,68.24,TRADE
TAS1,"2012/07/02 07:00:00",1253.4,79.7,TRADE
TAS1,"2012/07/02 07:30:00",1359.32,69.29,TRADE
TAS1,"2012/07/02 08:00:00",1438.76,79.15,TRADE
TAS1,"2012/07/02 08:30:00",1476.33,85.65,TRADE
TAS1,"2012/07/02 09:00:00",1444.9,81.63,TRADE
TAS1,"2012/07/02 09:30:00",1393.6,82.25,TRADE
TAS1,"2012/07/02 10:00:00",1385.17,84.05,TRADE
TAS1,"2012/07/02 10:30:00",1332.71,83.76,TRADE
TAS1,"2012/07/02 11:00:00",1295.78,94.1,TRADE
TAS1,"2012/07/02 11:30:00",1273.17,85.74,TRADE
TAS1,"2012/07/02 12:00:00",1258.36,175.12,TRADE
TAS1,"2012/07/02 12:30:00",1190.15,2188.31,TRADE
TAS1,"2012/07/02 13:00:00",1144.11,27.1,TRADE
TAS1,"2012/07/02 13:30:00",1173.1,53.23,TRADE
TAS1,"2012/07/02 14:00:00",1178.95,70.77,TRADE
TAS1,"2012/07/02 14:30:00",1190.8,161.54,TRADE
TAS1,"2012/07/02 15:00:00",1183.27,83.41,TRADE
TAS1,"2012/07/02 15:30:00",1200.16,90.26,TRADE
TAS1,"2012/07/02 16:00:00",1238.88,91.2,TRADE
TAS1,"2012/07/02 16:30:00",1282.37,96.4,TRADE
TAS1,"2012/07/02 17:00:00",1345.78,96.36,TRADE
TAS1,"2012/07/02 17:30:00",1431.29,101.14,TRADE
TAS1,"2012/07/02 18:00:00",1497.53,108.06,TRADE
TAS1,"2012/07/02 18:30:00",1493.34,87.36,TRADE
TAS1,"2012/07/02 19:00:00",1477.89,87.36,TRADE
TAS1,"2012/07/02 19:30:00",1470.67,87.36,TRADE
TAS1,"2012/07/02 20:00:00",1451.25,87.36,TRADE
TAS1,"2012/07/02 20:30:00",1439.9,87.36,TRADE
TAS1,"2012/07/02 21:00:00",1412,87.36,TRADE
TAS1,"2012/07/02 21:30:00",1370.37,89.31,TRADE
TAS1,"2012/07/02 22:00:00",1325.9,87.46,TRADE
TAS1,"2012/07/02 22:30:00",1241.58,107.84,TRADE
TAS1,"2012/07/02 23:00:00",1181.18,100.17,TRADE
TAS1,"2012/07/02 23:30:00",1137.29,93.24,TRADE
TAS1,"2012/07/03 00:00:00",1105.33,87.36,TRADE
TAS1,"2012/07/03 00:30:00",1066.16,87.76,TRADE
TAS1,"2012/07/03 01:00:00",1033.12,107.44,TRADE
TAS1,"2012/07/03 01:30:00",1015.67,107.78,TRADE
TAS1,"2012/07/03 02:00:00",1020.76,97.26,TRADE
TAS1,"2012/07/03 02:30:00",1015.53,91.56,TRADE
TAS1,"2012/07/03 03:00:00",1023.49,88.69,TRADE
TAS1,"2012/07/03 03:30:00",1017.66,80.2,TRADE
TAS1,"2012/07/03 04:00:00",1015.92,76.96,TRADE
TAS1,"2012/07/03 04:30:00",1030.86,64.57,TRADE
TAS1,"2012/07/03 05:00:00",1053.14,67.09,TRADE
TAS1,"2012/07/03 05:30:00",1076.32,69.92,TRADE
TAS1,"2012/07/03 06:00:00",1115.42,73.48,TRADE
TAS1,"2012/07/03 06:30:00",1198.25,83.79,TRADE
TAS1,"2012/07/03 07:00:00",1315.87,75.48,TRADE
TAS1,"2012/07/03 07:30:00",1443.57,76.27,TRADE
TAS1,"2012/07/03 08:00:00",1520.63,85.27,TRADE
TAS1,"2012/07/03 08:30:00",1543.07,93.95,TRADE
TAS1,"2012/07/03 09:00:00",1522.5,84.42,TRADE
TAS1,"2012/07/03 09:30:00",1488.37,84.06,TRADE
TAS1,"2012/07/03 10:00:00",1445.57,80.9,TRADE
TAS1,"2012/07/03 10:30:00",1414.59,73.94,TRADE
TAS1,"2012/07/03 11:00:00",1375.03,79.25,TRADE
TAS1,"2012/07/03 11:30:00",1325.18,75.01,TRADE
TAS1,"2012/07/03 12:00:00",1282.32,69.46,TRADE
TAS1,"2012/07/03 12:30:00",1244.09,64.64,TRADE
TAS1,"2012/07/03 13:00:00",1213.57,65.85,TRADE
TAS1,"2012/07/03 13:30:00",1204.54,63.27,TRADE
TAS1,"2012/07/03 14:00:00",1187.86,78.18,TRADE
TAS1,"2012/07/03 14:30:00",1199.79,83.72,TRADE
TAS1,"2012/07/03 15:00:00",1206,73.93,TRADE
TAS1,"2012/07/03 15:30:00",1208.31,61.95,TRADE
TAS1,"2012/07/03 16:00:00",1229.92,66.02,TRADE
TAS1,"2012/07/03 16:30:00",1264.53,65.72,TRADE
TAS1,"2012/07/03 17:00:00",1332.73,79.1,TRADE
TAS1,"2012/07/03 17:30:00",1437.11,82.6,TRADE
TAS1,"2012/07/03 18:00:00",1480.45,91.54,TRADE
TAS1,"2012/07/03 18:30:00",1486.11,90.84,TRADE
TAS1,"2012/07/03 19:00:00",1476.12,83.32,TRADE
TAS1,"2012/07/03 19:30:00",1458.98,73.99,TRADE
TAS1,"2012/07/03 20:00:00",1427.55,69.22,TRADE
TAS1,"2012/07/03 20:30:00",1421.26,69.32,TRADE
TAS1,"2012/07/03 21:00:00",1404.16,65.85,TRADE
TAS1,"2012/07/03 21:30:00",1382.61,68.76,TRADE
TAS1,"2012/07/03 22:00:00",1319.96,69.21,TRADE
TAS1,"2012/07/03 22:30:00",1263.11,71.63,TRADE
TAS1,"2012/07/03 23:00:00",1199.73,67.12,TRADE
TAS1,"2012/07/03 23:30:00",1155.41,66.44,TRADE
TAS1,"2012/07/04 00:00:00",1131.4,62.4,TRADE
TAS1,"2012/07/04 00:30:00",1079.75,63.76,TRADE
TAS1,"2012/07/04 01:00:00",1058.99,59.44,TRADE
TAS1,"2012/07/04 01:30:00",1057.67,61.53,TRADE
TAS1,"2012/07/04 02:00:00",1070.44,59.18,TRADE
TAS1,"2012/07/04 02:30:00",1075.4,54.65,TRADE
TAS1,"2012/07/04 03:00:00",1075.5,54.04,TRADE
TAS1,"2012/07/04 03:30:00",1078.47,53.84,TRADE
TAS1,"2012/07/04 04:00:00",1073.82,53.3,TRADE
TAS1,"2012/07/04 04:30:00",1083.84,51.84,TRADE
TAS1,"2012/07/04 05:00:00",1094.5,50.99,TRADE
TAS1,"2012/07/04 05:30:00",1119.53,50.99,TRADE
TAS1,"2012/07/04 06:00:00",1168.66,52.52,TRADE
TAS1,"2012/07/04 06:30:00",1237.72,73.08,TRADE
TAS1,"2012/07/04 07:00:00",1347.18,76.2,TRADE
TAS1,"2012/07/04 07:30:00",1481.36,74.37,TRADE
TAS1,"2012/07/04 08:00:00",1548.73,96.52,TRADE
TAS1,"2012/07/04 08:30:00",1559.04,97.01,TRADE
TAS1,"2012/07/04 09:00:00",1533.47,83.78,TRADE
TAS1,"2012/07/04 09:30:00",1491.46,81.54,TRADE
TAS1,"2012/07/04 10:00:00",1439.28,82.95,TRADE
TAS1,"2012/07/04 10:30:00",1394.53,97.62,TRADE
TAS1,"2012/07/04 11:00:00",1351.76,90.44,TRADE
TAS1,"2012/07/04 11:30:00",1304.64,77.01,TRADE
TAS1,"2012/07/04 12:00:00",1261.72,83.07,TRADE
TAS1,"2012/07/04 12:30:00",1271.73,77.17,TRADE
TAS1,"2012/07/04 13:00:00",1248.97,73.63,TRADE
TAS1,"2012/07/04 13:30:00",1237.28,76.68,TRADE
TAS1,"2012/07/04 14:00:00",1220.39,73.32,TRADE
TAS1,"2012/07/04 14:30:00",1251.88,73.33,TRADE
TAS1,"2012/07/04 15:00:00",1247.89,73.09,TRADE
TAS1,"2012/07/04 15:30:00",1248.25,63.65,TRADE
TAS1,"2012/07/04 16:00:00",1264.33,73.3,TRADE
TAS1,"2012/07/04 16:30:00",1303.3,72.35,TRADE
TAS1,"2012/07/04 17:00:00",1363.15,71.91,TRADE
TAS1,"2012/07/04 17:30:00",1422.27,69.28,TRADE
TAS1,"2012/07/04 18:00:00",1485.54,73.33,TRADE
TAS1,"2012/07/04 18:30:00",1490.24,73.33,TRADE
TAS1,"2012/07/04 19:00:00",1480.84,73.33,TRADE
TAS1,"2012/07/04 19:30:00",1462.2,73.33,TRADE
TAS1,"2012/07/04 20:00:00",1442.49,73.33,TRADE
TAS1,"2012/07/04 20:30:00",1433.98,73.33,TRADE
TAS1,"2012/07/04 21:00:00",1412,70.49,TRADE
TAS1,"2012/07/04 21:30:00",1376.66,72.36,TRADE
TAS1,"2012/07/04 22:00:00",1341.94,67.35,TRADE
TAS1,"2012/07/04 22:30:00",1288.8,74.24,TRADE
TAS1,"2012/07/04 23:00:00",1236.05,62.67,TRADE
TAS1,"2012/07/04 23:30:00",1182.04,62.62,TRADE
TAS1,"2012/07/05 00:00:00",1166.76,57.08,TRADE
TAS1,"2012/07/05 00:30:00",1129.07,57.93,TRADE
TAS1,"2012/07/05 01:00:00",1113.37,55.53,TRADE
TAS1,"2012/07/05 01:30:00",1102.6,56.36,TRADE
TAS1,"2012/07/05 02:00:00",1101.48,53.96,TRADE
TAS1,"2012/07/05 02:30:00",1102.92,51.21,TRADE
TAS1,"2012/07/05 03:00:00",1098.36,49.54,TRADE
TAS1,"2012/07/05 03:30:00",1099.89,49.09,TRADE
TAS1,"2012/07/05 04:00:00",1104.31,50.09,TRADE
TAS1,"2012/07/05 04:30:00",1112.84,50.44,TRADE
TAS1,"2012/07/05 05:00:00",1128.15,50.61,TRADE
TAS1,"2012/07/05 05:30:00",1155.9,52.48,TRADE
TAS1,"2012/07/05 06:00:00",1193.55,54.44,TRADE
TAS1,"2012/07/05 06:30:00",1279.36,66.15,TRADE
TAS1,"2012/07/05 07:00:00",1366.91,80.83,TRADE
TAS1,"2012/07/05 07:30:00",1488.47,72.88,TRADE
TAS1,"2012/07/05 08:00:00",1556.91,82.23,TRADE
TAS1,"2012/07/05 08:30:00",1590.75,82.15,TRADE
TAS1,"2012/07/05 09:00:00",1568.14,81.48,TRADE
TAS1,"2012/07/05 09:30:00",1532.75,76.51,TRADE
TAS1,"2012/07/05 10:00:00",1486.49,73.33,TRADE
