REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
SA1,"2017/12/01 00:30:00",1381,70.64,TRADE
SA1,"2017/12/01 01:00:00",1314.52,76.34,TRADE
SA1,"2017/12/01 01:30:00",1179.32,69.5,TRADE
SA1,"2017/12/01 02:00:00",1113.77,60.79,TRADE
SA1,"2017/12/01 02:30:00",1064.68,55.97,TRADE
SA1,"2017/12/01 03:00:00",1055.33,56.29,TRADE
SA1,"2017/12/01 03:30:00",1047.47,69.81,TRADE
SA1,"2017/12/01 04:00:00",1012.15,68.66,TRADE
SA1,"2017/12/01 04:30:00",1021.79,76.34,TRADE
SA1,"2017/12/01 05:00:00",1062.25,78.38,TRADE
SA1,"2017/12/01 05:30:00",1072.32,124.1,TRADE
SA1,"2017/12/01 06:00:00",1152.93,109.47,TRADE
SA1,"2017/12/01 06:30:00",1217.6,100.65,TRADE
SA1,"2017/12/01 07:00:00",1226.46,94.83,TRADE
SA1,"2017/12/01 07:30:00",1227.12,99.25,TRADE
SA1,"2017/12/01 08:00:00",1186.58,95.9,TRADE
SA1,"2017/12/01 08:30:00",1204.69,110.19,TRADE
SA1,"2017/12/01 09:00:00",1193.43,94.62,TRADE
SA1,"2017/12/01 09:30:00",1165.26,96.8,TRADE
SA1,"2017/12/01 10:00:00",1194.94,99.53,TRADE
SA1,"2017/12/01 10:30:00",1202,100.15,TRADE
SA1,"2017/12/01 11:00:00",1284.89,104.75,TRADE
SA1,"2017/12/01 11:30:00",1267.68,107.57,TRADE
SA1,"2017/12/01 12:00:00",1245.59,83.4,TRADE
SA1,"2017/12/01 12:30:00",1227.45,83.21,TRADE
SA1,"2017/12/01 13:00:00",1223.02,82.78,TRADE
SA1,"2017/12/01 13:30:00",1147.76,81.13,TRADE
SA1,"2017/12/01 14:00:00",1174.3,80,TRADE
SA1,"2017/12/01 14:30:00",1194.96,80.37,TRADE
SA1,"2017/12/01 15:00:00",1127.02,79.41,TRADE
SA1,"2017/12/01 15:30:00",1116.82,79.31,TRADE
SA1,"2017/12/01 16:00:00",1127.47,73.61,TRADE
SA1,"2017/12/01 16:30:00",1195.14,73.75,TRADE
SA1,"2017/12/01 17:00:00",1224.83,73.01,TRADE
SA1,"2017/12/01 17:30:00",1198.13,70.93,TRADE
SA1,"2017/12/01 18:00:00",1201.15,66.38,TRADE
SA1,"2017/12/01 18:30:00",1185.32,57.16,TRADE
SA1,"2017/12/01 19:00:00",1223.56,56.4,TRADE
SA1,"2017/12/01 19:30:00",1231.58,57.29,TRADE
SA1,"2017/12/01 20:00:00",1226.21,62.03,TRADE
SA1,"2017/12/01 20:30:00",1205.99,59.55,TRADE
SA1,"2017/12/01 21:00:00",1161.67,55.64,TRADE
SA1,"2017/12/01 21:30:00",1137.41,55.56,TRADE
SA1,"2017/12/01 22:00:00",1087.39,62.07,TRADE
SA1,"2017/12/01 22:30:00",1062.28,67.56,TRADE
SA1,"2017/12/01 23:00:00",1061.86,59.12,TRADE
SA1,"2017/12/01 23:30:00",1056.98,61.99,TRADE
SA1,"2017/12/02 00:00:00",1253.78,62.13,TRADE
SA1,"2017/12/02 00:30:00",1148.94,67.85,TRADE
SA1,"2017/12/02 01:00:00",1085.32,63.94,TRADE
SA1,"2017/12/02 01:30:00",1008.47,61.99,TRADE
SA1,"2017/12/02 02:00:00",941.54,55.48,TRADE
SA1,"2017/12/02 02:30:00",906.66,57.85,TRADE
SA1,"2017/12/02 03:00:00",894.02,65.78,TRADE
SA1,"2017/12/02 03:30:00",868.69,57.8,TRADE
SA1,"2017/12/02 04:00:00",863.5,54.77,TRADE
SA1,"2017/12/02 04:30:00",858.99,56.72,TRADE
SA1,"2017/12/02 05:00:00",860.55,57.21,TRADE
SA1,"2017/12/02 05:30:00",873.18,61.02,TRADE
SA1,"2017/12/02 06:00:00",856.83,60.42,TRADE
SA1,"2017/12/02 06:30:00",874.58,64.64,TRADE
SA1,"2017/12/02 07:00:00",916.87,68.56,TRADE
SA1,"2017/12/02 07:30:00",923.81,69.73,TRADE
SA1,"2017/12/02 08:00:00",853.92,68.43,TRADE
SA1,"2017/12/02 08:30:00",835.08,67.43,TRADE
SA1,"2017/12/02 09:00:00",833.35,68.42,TRADE
SA1,"2017/12/02 09:30:00",817.15,66.7,TRADE
SA1,"2017/12/02 10:00:00",823.1,63.81,TRADE
SA1,"2017/12/02 10:30:00",831,62.91,TRADE
SA1,"2017/12/02 11:00:00",744.27,57.35,TRADE
SA1,"2017/12/02 11:30:00",739.63,57.29,TRADE
SA1,"2017/12/02 12:00:00",756.98,58.58,TRADE
SA1,"2017/12/02 12:30:00",705.19,58.26,TRADE
SA1,"2017/12/02 13:00:00",720.69,60.35,TRADE
SA1,"2017/12/02 13:30:00",741.38,61.85,TRADE
SA1,"2017/12/02 14:00:00",741.46,60.08,TRADE
